"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8779","Check spelling on link 45 of 65: https://www.teenvoice.com/insights/teens-love-of-fast-food-what-s-the-secret-sauce","chromium","Fri Jan 24 09:57:44 EST 2025","failed","Fri Jan 24 09:57:53 EST 2025","Spell Check for All Links","mainTest.spec.js","",""
"","13566","Check spelling on link 1 of 65: https://www.teenvoice.com/legal/privacy-policy","chromium","Fri Jan 24 09:55:18 EST 2025","failed","Fri Jan 24 09:55:31 EST 2025","Spell Check for All Links","mainTest.spec.js","",""
"","8031","Check spelling on link 36 of 65: https://www.teenvoice.com/reports/how-teens-cope-with-stress-and-anxiety-highered","chromium","Fri Jan 24 09:55:36 EST 2025","failed","Fri Jan 24 09:55:44 EST 2025","Spell Check for All Links","mainTest.spec.js","",""
"","3731","Check spelling on link 43 of 65: https://www.teenvoice.com/insights/2025-teen-trends-wellness-and-personal-growth-are-in","chromium","Fri Jan 24 09:57:22 EST 2025","failed","Fri Jan 24 09:57:26 EST 2025","Spell Check for All Links","mainTest.spec.js","",""
"","5","Check spelling on link 13 of 15: https://www.teenvoice.com/legal/commercial-terms-and-conditions","chromium","Fri Jan 24 09:54:27 EST 2025","failed","Fri Jan 24 09:54:27 EST 2025","Spell Check for All Links","mainTest.spec.js","",""
"","11367","Check spelling on link 3 of 65: https://www.teenvoice.com/features","chromium","Fri Jan 24 09:55:53 EST 2025","failed","Fri Jan 24 09:56:05 EST 2025","Spell Check for All Links","mainTest.spec.js","",""
"","364","has title","chromium","Fri Jan 24 09:55:18 EST 2025","passed","Fri Jan 24 09:55:18 EST 2025","","example.spec.js","",""
"","8199","Check spelling on link 19 of 65: https://www.teenvoice.com/reports/tailoring-education-to-student-future-planning","chromium","Fri Jan 24 09:55:40 EST 2025","failed","Fri Jan 24 09:55:48 EST 2025","Spell Check for All Links","mainTest.spec.js","",""
"","5747","Check spelling on link 60 of 65: https://www.teenvoice.com/insights/making-the-grade-teens-top-priority","chromium","Fri Jan 24 09:57:49 EST 2025","failed","Fri Jan 24 09:57:55 EST 2025","Spell Check for All Links","mainTest.spec.js","",""
"","9793","Check spelling on link 20 of 65: https://www.teenvoice.com/reports/teen-future-planning-mission-driven-insights","chromium","Fri Jan 24 09:55:53 EST 2025","failed","Fri Jan 24 09:56:03 EST 2025","Spell Check for All Links","mainTest.spec.js","",""
